day,time,event,probability,duration,flow_rate,sigma_duration,sigma_flow_rate
0,18:48:00,small,0.117,60,0.017,60,0.033
0,19:00:00,small,0.117,60,0.017,60,0.033
0,19:11:00,small,0.117,60,0.017,60,0.033
0,19:23:00,small,0.116,60,0.017,60,0.033
0,19:36:00,small,0.116,60,0.017,60,0.033
0,19:48:00,small,0.116,60,0.017,60,0.033
0,20:00:00,small,0.112,60,0.017,60,0.033
0,20:11:00,small,0.109,60,0.017,60,0.033
0,20:23:00,small,0.105,60,0.017,60,0.033
0,20:36:00,small,0.1,60,0.017,60,0.033
0,20:48:00,small,0.094,60,0.017,60,0.033
0,21:00:00,small,0.088,60,0.017,60,0.033
0,21:11:00,small,0.081,60,0.017,60,0.033
0,21:23:00,small,0.074,60,0.017,60,0.033
0,21:36:00,small,0.067,60,0.017,60,0.033
0,21:48:00,small,0.06,60,0.017,60,0.033
0,22:00:00,small,0.053,60,0.017,60,0.033
0,22:11:00,small,0.047,60,0.017,60,0.033
0,22:23:00,small,0.041,60,0.017,60,0.033
0,22:36:00,small,0.035,60,0.017,60,0.033
0,22:48:00,small,0.03,60,0.017,60,0.033
0,23:00:00,small,0.025,60,0.017,60,0.033
0,23:11:00,small,0.021,60,0.017,60,0.033
0,23:23:00,small,0.02,60,0.017,60,0.033
0,23:36:00,small,0.02,60,0.017,60,0.033
0,23:48:00,small,0.02,60,0.017,60,0.033
1,00:00:00,shower,0.007,300,0.133,120,0.033
1,00:12:00,shower,0.007,300,0.133,120,0.033
1,00:24:00,shower,0.007,300,0.133,120,0.033
1,00:36:00,shower,0.007,300,0.133,120,0.033
1,00:48:00,shower,0.007,300,0.133,120,0.033
1,01:00:00,shower,0.007,300,0.133,120,0.033
1,01:11:00,shower,0.007,300,0.133,120,0.033
1,01:23:00,shower,0.007,300,0.133,120,0.033
1,01:36:00,shower,0.007,300,0.133,120,0.033
1,01:48:00,shower,0.007,300,0.133,120,0.033
1,02:00:00,shower,0.007,300,0.133,120,0.033
1,02:12:00,shower,0.007,300,0.133,120,0.033
1,02:23:00,shower,0.007,300,0.133,120,0.033
1,02:36:00,shower,0.007,300,0.133,120,0.033
1,02:47:00,shower,0.007,300,0.133,120,0.033
1,03:00:00,shower,0.007,300,0.133,120,0.033
1,03:12:00,shower,0.007,300,0.133,120,0.033
1,03:23:00,shower,0.007,300,0.133,120,0.033
1,03:36:00,shower,0.007,300,0.133,120,0.033
1,03:47:00,shower,0.007,300,0.133,120,0.033
1,04:00:00,shower,0.007,300,0.133,120,0.033
1,04:12:00,shower,0.007,300,0.133,120,0.033
1,04:24:00,shower,0.007,300,0.133,120,0.033
1,04:35:00,shower,0.007,300,0.133,120,0.033
1,04:47:00,shower,0.009,300,0.133,120,0.033
1,05:00:00,shower,0.015,300,0.133,120,0.033
1,05:12:00,shower,0.024,300,0.133,120,0.033
1,05:24:00,shower,0.037,300,0.133,120,0.033
1,05:35:00,shower,0.054,300,0.133,120,0.033
1,05:47:00,shower,0.074,300,0.133,120,0.033
1,06:00:00,shower,0.097,300,0.133,120,0.033
1,06:12:00,shower,0.121,300,0.133,120,0.033
1,06:24:00,shower,0.144,300,0.133,120,0.033
1,06:35:00,shower,0.163,300,0.133,120,0.033
1,06:47:00,shower,0.176,300,0.133,120,0.033
